"PathwayID","PathwaySize","SignificantGenesInPathway","SignificantGenesTotal","GeneRatio","BackgroundRatio","P.Value","Genes","adj.P.Val","PathwayName"
"hsa04260",81,3,37,0.0810810810810811,0.0106761565836299,0.00701534845665639,"4635/55799/7170",0.560726282115314,"Cardiac muscle contraction"
"hsa05216",37,2,37,0.0540540540540541,0.00487676288388032,0.0138450933855633,"5979/7170",0.560726282115314,"Thyroid cancer"
"hsa04820",231,4,37,0.108108108108108,0.0304468169236853,0.0251827552911832,"4635/4703/7170/131873",0.564628707025814,"Cytoskeleton in muscle cells"
"hsa04261",145,3,37,0.0810810810810811,0.0191116383287202,0.0330889786108249,"4635/55799/7170",0.564628707025814,"Adrenergic signaling in cardiomyocytes"
"hsa04514",148,3,37,0.0810810810810811,0.0195070515355213,0.0348536238904823,"22829/3897/214",0.564628707025814,"Cell adhesion molecule (CAM) interaction"
"hsa00430",14,1,37,0.027027027027027,0.0018452616317385,0.0662070561414172,"339896",0.656345690332921,"Taurine and hypotaurine metabolism"
"hsa05410",93,2,37,0.0540540540540541,0.0122578094108343,0.0750824722064696,"55799/7170",0.656345690332921,"Hypertrophic cardiomyopathy"
"hsa03273",17,1,37,0.027027027027027,0.00224067483853961,0.0798290001649884,"83259",0.656345690332921,"Virion - Lassa virus and SFTS virus"
"hsa05414",98,2,37,0.0540540540540541,0.0129168314221695,0.0821798832455096,"55799/7170",0.656345690332921,"Dilated cardiomyopathy"
"hsa04744",20,1,37,0.027027027027027,0.00263608804534071,0.0932575248820142,"9626",0.656345690332921,"Phototransduction"
"hsa00770",21,1,37,0.027027027027027,0.00276789244760775,0.0976911804363118,"339896",0.656345690332921,"Pantothenate and CoA biosynthesis"
"hsa00534",24,1,37,0.027027027027027,0.00316330565440886,0.110865961650844,"266722",0.656345690332921,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"hsa04926",125,2,37,0.0540540540540541,0.0164755502833795,0.123648385058988,"6013/6019",0.656345690332921,"Relaxin signaling pathway"
"hsa00410",29,1,37,0.027027027027027,0.00382232766574404,0.132409115874896,"339896",0.656345690332921,"beta-Alanine metabolism"
"hsa00030",30,1,37,0.027027027027027,0.00395413206801107,0.136656385352618,"8277",0.656345690332921,"Pentose phosphate pathway"
"hsa04921",142,2,37,0.0540540540540541,0.0187162251219191,0.151897416828304,"3760/55799",0.656345690332921,"Oxytocin signaling pathway"
"hsa04010",282,3,37,0.0810810810810811,0.0371688414393041,0.157269731780012,"55799/8817/5979",0.656345690332921,"MAPK signaling pathway"
"hsa00140",42,1,37,0.027027027027027,0.0055357848952155,0.186071940708667,"412",0.656345690332921,"Steroid hormone biosynthesis"
"hsa00830",43,1,37,0.027027027027027,0.00566758929748254,0.190063370555424,"8228",0.656345690332921,"Retinol metabolism"
"hsa05202",175,2,37,0.0540540540540541,0.0230657703967313,0.209732225837134,"7403/8842",0.656345690332921,"Transcriptional misregulation in cancer"
"hsa04151",326,3,37,0.0810810810810811,0.0429682351390536,0.211325776557606,"8817/5979/131873",0.656345690332921,"PI3K-Akt signaling pathway"
"hsa03010",186,2,37,0.0540540540540541,0.0245156188216686,0.229555613401572,"6192/6191",0.656345690332921,"Ribosome"
"hsa04814",189,2,37,0.0540540540540541,0.0249110320284698,0.234989760680405,"4635/7170",0.656345690332921,"Motor proteins"
"hsa04622",56,1,37,0.027027027027027,0.007381046526954,0.240250445539876,"1654",0.656345690332921,"RIG-I-like receptor signaling pathway"
"hsa04929",61,1,37,0.027027027027027,0.00804006853828918,0.258736166106642,"3760",0.656345690332921,"GnRH secretion"
"hsa05171",209,2,37,0.0540540540540541,0.0275471200738105,0.271387770468759,"6192/6191",0.656345690332921,"Coronavirus disease - COVID-19"
